iter	Passed	Remaining
196	438	1788
197	441	1787
198	443	1783
199	445	1780
200	447	1777
201	448	1773
202	451	1773
203	453	1771
204	455	1767
205	457	1764
206	459	1760
207	461	1757
208	463	1753
209	465	1751
210	467	1748
211	469	1745
212	471	1743
213	473	1740
214	475	1737
215	477	1734
216	479	1730
217	481	1728
218	483	1724
219	485	1722
220	487	1719
221	489	1715
222	491	1712
223	493	1709
224	495	1708
225	497	1704
226	499	1701
227	501	1698
228	503	1695
229	506	1694
230	508	1693
231	511	1693
232	514	1692
233	516	1690
234	518	1688
235	520	1686
236	523	1683
237	525	1682
238	527	1680
239	529	1678
240	532	1676
241	534	1673
242	536	1670
243	538	1668
244	541	1667
245	543	1665
246	545	1662
247	547	1659
248	549	1655
249	550	1652
250	552	1649
251	555	1647
252	556	1644
253	558	1641
254	560	1638
255	562	1635
256	565	1633
257	567	1631
258	569	1628
259	571	1626
260	573	1624
261	575	1621
262	578	1619
263	580	1617
264	582	1614
265	584	1612
266	586	1609
267	588	1606
268	590	1603
269	592	1601
270	594	1598
271	596	1595
272	598	1593
273	600	1591
274	602	1588
275	604	1585
276	606	1583
277	608	1580
278	610	1577
279	612	1574
280	614	1571
281	616	1568
282	618	1566
283	620	1563
284	621	1560
285	623	1557
286	625	1554
287	627	1552
288	629	1549
289	631	1546
290	633	1543
291	635	1540
292	637	1537
293	639	1535
294	641	1531
295	643	1529
296	645	1526
297	646	1523
298	648	1520
299	650	1518
300	652	1514
301	654	1512
302	656	1510
303	658	1507
304	660	1504
305	662	1501
306	664	1498
307	665	1496
308	667	1493
309	669	1491
310	672	1488
311	673	1486
312	675	1483
313	677	1480
314	679	1478
315	681	1476
316	683	1473
317	685	1470
318	688	1469
319	690	1466
320	692	1464
321	694	1461
322	696	1459
323	698	1457
324	700	1454
325	702	1453
326	704	1450
327	707	1448
328	709	1446
329	711	1444
330	713	1442
331	715	1440
332	718	1438
333	720	1436
334	722	1435
335	725	1433
336	727	1431
337	730	1429
338	732	1428
339	734	1425
340	736	1423
341	738	1421
342	740	1418
343	743	1417
344	745	1415
345	748	1414
346	750	1411
347	752	1409
348	754	1407
349	756	1405
350	758	1403
351	761	1402
352	763	1399
353	765	1397
354	768	1395
355	769	1392
356	771	1390
357	773	1387
358	776	1387
359	779	1384
360	781	1382
361	783	1380
362	785	1378
363	787	1376
364	789	1374
365	792	1372
366	794	1370
367	796	1368
368	798	1365
369	800	1363
370	802	1360
371	804	1358
372	806	1356
373	808	1354
374	810	1351
375	813	1349
376	815	1347
377	817	1345
378	819	1342
379	821	1340
380	824	1339
381	826	1337
382	829	1335
383	831	1334
384	834	1333
385	837	1332
386	839	1330
387	841	1328
388	843	1325
389	846	1323
390	848	1320
391	849	1318
392	852	1316
393	854	1313
394	856	1311
395	857	1308
396	860	1306
397	862	1304
398	864	1302
399	866	1300
400	868	1298
401	870	1295
402	873	1293
403	875	1291
404	877	1288
405	879	1286
406	881	1284
407	883	1282
408	885	1279
409	887	1277
410	889	1274
411	891	1272
412	893	1269
413	895	1267
414	897	1264
415	899	1262
416	900	1259
417	902	1256
418	904	1254
419	906	1251
420	908	1249
421	910	1246
422	912	1244
423	914	1242
424	916	1239
425	918	1237
426	920	1235
427	922	1233
428	924	1231
429	927	1229
430	929	1227
431	931	1225
432	933	1222
433	935	1220
434	937	1218
435	940	1216
436	942	1213
437	944	1211
438	946	1209
439	948	1206
440	950	1204
441	952	1202
442	954	1199
443	956	1197
444	958	1195
445	960	1193
446	962	1190
447	964	1188
448	966	1186
449	968	1183
450	970	1181
451	972	1179
452	975	1177
453	977	1174
454	979	1172
455	981	1170
456	983	1168
457	985	1166
458	987	1164
459	989	1161
460	991	1159
461	993	1157
462	995	1155
463	997	1152
464	1000	1150
465	1002	1148
466	1004	1146
467	1006	1143
468	1008	1141
469	1010	1139
470	1012	1137
471	1014	1134
472	1016	1132
473	1018	1130
474	1021	1128
475	1022	1126
476	1024	1123
477	1026	1121
478	1029	1119
479	1031	1117
480	1033	1115
481	1035	1112
482	1037	1110
483	1040	1108
484	1042	1106
485	1044	1105
486	1046	1102
487	1049	1100
488	1051	1098
489	1053	1096
490	1055	1094
491	1057	1091
492	1059	1089
493	1061	1087
494	1063	1085
495	1065	1082
496	1068	1080
497	1070	1079
498	1072	1077
499	1076	1076
500	1078	1074
501	1080	1072
502	1083	1070
503	1085	1068
504	1088	1066
505	1090	1064
506	1092	1062
507	1095	1060
508	1097	1058
509	1099	1056
510	1101	1054
511	1103	1051
512	1106	1050
513	1108	1048
514	1110	1046
515	1112	1043
516	1115	1041
517	1117	1039
518	1119	1037
519	1122	1036
520	1124	1034
521	1127	1032
522	1129	1030
523	1131	1028
524	1134	1026
525	1136	1024
526	1139	1022
527	1141	1020
528	1144	1018
529	1146	1016
530	1148	1014
531	1150	1012
532	1152	1010
533	1154	1007
534	1156	1005
535	1159	1003
536	1161	1001
537	1163	998
538	1165	996
539	1167	994
540	1169	992
541	1171	989
542	1173	987
543	1175	985
544	1177	982
545	1179	980
546	1181	978
547	1182	975
548	1184	973
549	1186	971
550	1188	968
551	1190	966
552	1193	964
553	1195	962
554	1197	959
555	1199	957
556	1201	955
557	1203	953
558	1205	950
559	1207	948
560	1209	946
561	1211	944
562	1213	941
563	1215	939
564	1217	937
565	1219	935
566	1221	932
567	1223	930
568	1226	928
569	1228	926
570	1230	924
571	1232	922
572	1234	920
573	1236	917
574	1239	916
575	1241	913
576	1243	911
577	1245	909
578	1247	906
579	1249	904
580	1251	902
581	1253	900
582	1255	898
583	1257	896
584	1259	893
585	1261	891
586	1263	889
587	1265	886
588	1268	884
589	1270	882
590	1271	880
591	1273	878
592	1275	875
593	1277	873
594	1279	871
595	1281	868
596	1284	866
597	1286	864
598	1287	862
599	1289	859
600	1291	857
601	1293	855
602	1295	853
603	1297	850
604	1299	848
605	1301	846
606	1303	844
607	1305	841
608	1307	839
609	1309	837
610	1311	834
611	1313	832
612	1315	830
613	1316	827
614	1318	825
615	1320	823
616	1322	821
617	1324	818
618	1327	817
619	1329	814
620	1331	812
621	1333	810
622	1335	808
623	1337	806
624	1340	804
625	1342	801
626	1344	799
627	1346	797
628	1348	795
629	1350	793
630	1352	791
631	1354	788
632	1357	786
633	1358	784
634	1360	782
635	1362	780
636	1364	777
637	1366	775
638	1368	773
639	1370	771
640	1372	768
641	1374	766
642	1376	764
643	1378	762
644	1380	759
645	1382	757
646	1384	755
647	1386	753
648	1388	751
649	1390	748
650	1392	746
651	1394	744
652	1396	742
653	1398	739
654	1401	738
655	1403	735
656	1405	733
657	1406	731
658	1408	729
659	1410	726
660	1412	724
661	1414	722
662	1416	720
663	1418	717
664	1420	715
665	1422	713
666	1424	710
667	1425	708
668	1427	706
669	1429	704
670	1431	702
671	1433	699
672	1435	697
673	1437	695
674	1439	693
675	1441	690
676	1443	688
677	1445	686
678	1447	684
679	1449	681
680	1450	679
681	1452	677
682	1454	675
683	1456	672
684	1458	670
685	1460	668
686	1462	666
687	1464	664
688	1466	661
689	1468	659
690	1469	657
691	1471	655
692	1473	652
693	1475	650
694	1477	648
695	1480	646
696	1482	644
697	1484	642
698	1486	639
699	1488	637
700	1490	635
701	1492	633
702	1494	631
703	1496	629
704	1498	627
705	1500	624
706	1502	622
707	1504	620
708	1506	618
709	1508	616
710	1510	614
711	1512	611
712	1514	609
713	1515	607
714	1517	604
715	1519	602
716	1521	600
717	1523	598
718	1525	596
719	1527	593
720	1529	591
721	1531	589
722	1532	587
723	1534	585
724	1536	582
725	1538	580
726	1540	578
727	1542	576
728	1544	574
729	1546	572
730	1548	569
731	1550	567
732	1552	565
733	1554	563
734	1556	561
735	1558	559
736	1560	556
737	1562	554
738	1565	552
739	1567	550
740	1569	548
741	1572	546
742	1574	544
743	1576	542
744	1578	540
745	1580	538
746	1582	536
747	1584	533
748	1586	531
749	1588	529
750	1590	527
751	1592	525
752	1594	522
753	1596	520
754	1598	518
755	1599	516
756	1601	514
757	1603	512
758	1605	509
759	1607	507
760	1609	505
761	1612	503
762	1614	501
763	1616	499
764	1618	497
765	1620	495
766	1622	492
767	1624	490
768	1627	488
769	1629	486
770	1631	484
771	1633	482
772	1636	480
773	1638	478
774	1641	476
775	1643	474
776	1645	472
777	1647	470
778	1649	467
779	1651	465
780	1653	463
781	1655	461
782	1657	459
783	1659	457
784	1661	455
785	1663	452
786	1665	450
787	1666	448
788	1669	446
789	1671	444
790	1673	442
791	1675	439
792	1677	437
793	1679	435
794	1680	433
795	1683	431
796	1685	429
797	1686	427
798	1688	424
799	1690	422
800	1693	420
801	1695	418
802	1696	416
803	1699	414
804	1701	412
805	1703	409
806	1705	407
807	1707	405
808	1709	403
809	1711	401
810	1713	399
811	1715	397
812	1717	395
813	1719	392
814	1721	390
815	1723	388
816	1725	386
817	1726	384
818	1729	382
819	1730	379
820	1732	377
821	1734	375
822	1736	373
823	1738	371
824	1740	369
825	1743	367
826	1745	365
827	1747	362
828	1749	360
829	1751	358
830	1753	356
831	1755	354
832	1757	352
833	1760	350
834	1763	348
835	1765	346
836	1768	344
837	1771	342
838	1774	340
839	1777	338
840	1779	336
841	1781	334
842	1783	332
843	1785	330
844	1787	327
845	1789	325
846	1791	323
847	1793	321
848	1795	319
849	1798	317
850	1800	315
851	1802	313
852	1804	310
853	1806	308
854	1808	306
855	1811	304
856	1813	302
857	1815	300
858	1817	298
859	1820	296
860	1822	294
861	1824	292
862	1827	290
863	1829	287
864	1831	285
865	1834	283
866	1836	281
867	1838	279
868	1840	277
869	1842	275
870	1844	273
871	1846	271
872	1849	269
873	1851	266
874	1853	264
875	1855	262
876	1857	260
877	1860	258
878	1862	256
879	1864	254
880	1866	252
881	1868	250
882	1870	247
883	1873	245
884	1875	243
885	1877	241
886	1880	239
887	1882	237
888	1884	235
889	1886	233
890	1889	231
891	1891	229
892	1893	226
893	1895	224
894	1897	222
895	1899	220
896	1901	218
897	1903	216
898	1905	214
899	1908	212
900	1910	209
901	1912	207
902	1914	205
903	1917	203
904	1919	201
905	1921	199
906	1924	197
907	1926	195
908	1929	193
909	1931	191
910	1933	188
911	1935	186
912	1937	184
913	1939	182
914	1941	180
915	1943	178
916	1946	176
917	1948	174
918	1950	171
919	1952	169
920	1954	167
921	1956	165
922	1959	163
923	1961	161
924	1963	159
925	1965	157
926	1967	154
927	1969	152
928	1971	150
929	1973	148
930	1975	146
931	1977	144
932	1980	142
933	1982	140
934	1984	137
935	1986	135
936	1988	133
937	1990	131
938	1992	129
939	1994	127
940	1997	125
941	1999	123
942	2001	120
943	2003	118
944	2005	116
945	2007	114
946	2008	112
947	2010	110
948	2013	108
949	2014	106
950	2016	103
951	2018	101
952	2020	99
953	2022	97
954	2024	95
955	2025	93
956	2027	91
957	2029	88
958	2031	86
959	2033	84
960	2035	82
961	2037	80
962	2038	78
963	2040	76
964	2043	74
965	2045	71
966	2046	69
967	2048	67
968	2050	65
969	2052	63
970	2054	61
971	2056	59
972	2058	57
973	2060	55
974	2062	52
975	2064	50
976	2066	48
977	2068	46
978	2070	44
979	2072	42
980	2074	40
981	2076	38
982	2078	35
983	2079	33
984	2081	31
985	2083	29
986	2085	27
987	2087	25
988	2089	23
989	2091	21
990	2093	19
991	2095	16
992	2097	14
993	2099	12
994	2101	10
995	2103	8
996	2105	6
997	2107	4
998	2109	2
999	2111	0
